dataset,shots,COCOOP_all_acc,COOP_all_acc,COCOOP_base_acc,COOP_base_acc,COCOOP_hm,COOP_hm,COCOOP_new_acc,COOP_new_acc
caltech-101,1,91.4,89.94,97.09,93.8,94.9,93.74,92.79,93.67
caltech-101,4,93.51,94.28,98.06,97.42,95.82,96.63,93.67,95.85
caltech-101,8,93.39,94.69,97.61,97.35,95.2,96.6,92.9,95.85
caltech-101,16,93.63,92.78,98.06,98.19,95.24,95.24,92.58,92.47
dtd,1,24.29,44.03,35.53,60.19,31.71,53.52,28.62,48.19
dtd,4,37.29,44.86,56.25,71.53,45.99,58.77,38.89,49.88
dtd,8,43.79,48.82,65.74,77.43,54.96,62.0,47.22,51.69
dtd,16,47.58,49.23,71.99,78.82,59.6,62.26,50.85,51.45
eurosat,1,29.04,58.36,61.74,75.45,51.42,72.98,44.05,70.67
eurosat,4,41.32,59.56,76.52,78.21,60.35,75.6,49.82,73.15
eurosat,8,50.23,64.07,80.45,85.1,66.04,77.72,56.0,71.51
eurosat,16,56.63,67.8,90.38,87.83,63.66,77.04,49.13,68.62
fgvc_aircraft,1,22.38,,27.13,,29.25,,31.73,
fgvc_aircraft,4,23.46,,30.07,,29.73,,29.39,
fgvc_aircraft,8,25.29,,32.41,,31.57,,30.77,
fgvc_aircraft,16,23.58,,35.35,,29.34,,25.07,
flowers102,1,62.81,66.38,65.43,69.33,67.64,71.27,70.0,73.33
flowers102,4,70.77,72.27,79.87,90.79,76.61,79.86,73.62,71.28
flowers102,8,68.7,68.7,83.57,96.77,74.6,74.29,67.38,60.28
flowers102,16,71.25,72.11,92.02,97.82,77.94,77.2,67.59,63.76
food101,1,83.46,82.29,88.54,88.82,88.92,87.96,89.31,87.12
food101,4,85.13,83.47,89.62,88.67,89.95,88.82,90.29,88.96
food101,8,85.86,83.13,90.06,89.17,90.52,88.69,90.99,88.22
food101,16,86.28,82.05,90.25,89.15,90.87,87.58,91.5,86.07
oxford_pets,1,85.77,85.09,89.85,88.68,92.26,91.9,94.8,95.36
oxford_pets,4,91.31,90.11,94.68,94.47,95.68,95.6,96.7,96.76
oxford_pets,8,90.41,90.98,95.0,94.47,95.51,95.84,96.03,97.26
oxford_pets,16,91.36,89.89,95.0,95.22,95.84,96.06,96.7,96.92
stanford_cars,1,64.51,,62.67,,67.02,,72.02,
stanford_cars,4,65.59,,65.72,,68.75,,72.07,
stanford_cars,8,67.78,,70.06,,71.17,,72.32,
stanford_cars,16,66.27,,71.04,,70.17,,69.32,
ucf101,1,60.69,,68.61,,67.69,,66.79,
ucf101,4,63.1,,75.8,,67.77,,61.28,
ucf101,8,65.69,,77.77,,69.88,,63.44,
ucf101,16,68.62,,80.3,,74.82,,70.04,
