epoch,train_loss,train_acc,val_acc,lr
1,1.48808988571167,60.0,63.0,1e-05
2,0.5252967047691345,85.5,95.0,0.0019863613034027225
3,0.1173551607131958,97.0,96.0,0.0019458172417006346
4,0.07791247129440308,98.0,97.0,0.001879473751206489
5,0.06571655988693237,98.5,97.0,0.0017891405093963938
6,0.05472079873085022,98.5,97.0,0.0016772815716257412
7,0.04958150327205658,98.5,96.5,0.001546948158122427
8,0.047126854062080385,98.5,96.5,0.0014016954246529696
9,0.045283273458480836,98.5,96.5,0.0012454854871407992
10,0.04242938458919525,98.5,96.5,0.0010825793454723326
11,0.04049890637397766,98.5,96.5,0.0009174206545276678
12,0.038242583274841306,98.5,96.5,0.0007545145128592009
13,0.03828153550624847,98.5,96.5,0.0005983045753470308
14,0.03679517984390259,98.5,96.5,0.0004530518418775733
15,0.03637915909290314,98.5,96.5,0.00032271842837425913
16,0.03617853164672852,98.5,96.5,0.00021085949060360655
17,0.035823402404785154,98.5,96.5,0.00012052624879351104
18,0.0350728839635849,98.5,96.5,5.418275829936536e-05
19,0.03497471749782562,99.0,96.5,1.3638696597277678e-05
20,0.035014302730560304,98.5,96.5,0.0
