epoch,train_loss,train_acc,val_acc,lr
1,1.598388671875,40.0,40.0,1e-05
2,1.60302734375,40.0,40.0,0.0019863613034027225
3,1.60244140625,40.0,40.0,0.0019458172417006346
4,1.3450439453125,40.0,60.0,0.001879473751206489
5,0.94515380859375,60.0,60.0,0.0017891405093963938
6,0.7635986328125,60.0,40.0,0.0016772815716257412
7,0.756298828125,60.0,40.0,0.001546948158122427
8,0.745477294921875,60.0,40.0,0.0014016954246529696
9,0.698883056640625,60.0,40.0,0.0012454854871407992
10,0.672760009765625,60.0,40.0,0.0010825793454723326
11,0.6292236328125,60.0,40.0,0.0009174206545276678
12,0.5933135986328125,60.0,40.0,0.0007545145128592009
13,0.566168212890625,60.0,40.0,0.0005983045753470308
14,0.526263427734375,80.0,40.0,0.0004530518418775733
15,0.5044647216796875,80.0,40.0,0.00032271842837425913
16,0.4941558837890625,80.0,40.0,0.00021085949060360655
17,0.479718017578125,100.0,40.0,0.00012052624879351104
18,0.473248291015625,100.0,40.0,5.418275829936536e-05
19,0.4699462890625,100.0,40.0,1.3638696597277678e-05
20,0.47357177734375,100.0,40.0,0.0
