epoch,train_loss,train_acc,val_acc,lr
1,5.0269091796875,6.0,10.0,1e-05
2,3.68876953125,10.0,22.0,0.0019863613034027225
3,2.87069091796875,18.0,24.0,0.0019458172417006346
4,2.49404541015625,26.0,26.0,0.001879473751206489
5,2.345269775390625,28.0,26.0,0.0017891405093963938
6,2.2191259765625,28.0,26.0,0.0016772815716257412
7,2.1477880859375,30.0,26.0,0.001546948158122427
8,2.09798583984375,30.0,26.0,0.0014016954246529696
9,2.072353515625,28.0,28.0,0.0012454854871407992
10,2.00613037109375,28.0,28.0,0.0010825793454723326
11,1.9998779296875,28.0,26.0,0.0009174206545276678
12,1.97075927734375,30.0,30.0,0.0007545145128592009
13,1.94725341796875,30.0,30.0,0.0005983045753470308
14,1.94454833984375,32.0,30.0,0.0004530518418775733
15,1.92853759765625,32.0,30.0,0.00032271842837425913
16,1.91726806640625,32.0,30.0,0.00021085949060360655
17,1.910614013671875,32.0,30.0,0.00012052624879351104
18,1.905020751953125,32.0,28.0,5.418275829936536e-05
19,1.90201171875,32.0,30.0,1.3638696597277678e-05
20,1.9010498046875,32.0,30.0,0.0
