class,standard,cupl_full,delta
face,77.01,54.02,-22.99
leopard,100.0,97.5,-2.5
motorbike,100.0,100.0,0.0
accordion,100.0,100.0,0.0
airplane,98.12,100.0,1.88
anchor,75.0,75.0,0.0
ant,75.0,75.0,0.0
barrel,88.89,100.0,11.11
bass,90.91,90.91,0.0
beaver,100.0,88.89,-11.11
binocular,85.71,71.43,-14.29
bonsai,100.0,100.0,0.0
brain,100.0,100.0,0.0
brontosaurus,100.0,100.0,0.0
buddha,100.0,94.12,-5.88
butterfly,88.89,94.44,5.56
camera,100.0,100.0,0.0
cannon,77.78,77.78,0.0
side of a car,100.0,100.0,0.0
ceiling fan,100.0,88.89,-11.11
cellphone,83.33,75.0,-8.33
chair,41.67,66.67,25.0
chandelier,95.24,71.43,-23.81
body of a cougar cat,88.89,77.78,-11.11
face of a cougar cat,100.0,92.86,-7.14
crab,93.33,93.33,0.0
crayfish,92.86,64.29,-28.57
crocodile,60.0,100.0,40.0
head of a crocodile,90.0,30.0,-60.0
cup,100.0,90.91,-9.09
dalmatian,100.0,100.0,0.0
dollar bill,100.0,100.0,0.0
dolphin,100.0,100.0,0.0
dragonfly,78.57,78.57,0.0
electric guitar,100.0,86.67,-13.33
elephant,100.0,100.0,0.0
emu,90.91,90.91,0.0
euphonium,84.62,92.31,7.69
ewer,100.0,100.0,0.0
ferry,100.0,100.0,0.0
flamingo,92.31,61.54,-30.77
head of a flamingo,55.56,77.78,22.22
garfield,100.0,100.0,0.0
gerenuk,100.0,100.0,0.0
gramophone,100.0,100.0,0.0
grand piano,100.0,100.0,0.0
hawksbill,100.0,100.0,0.0
headphone,100.0,100.0,0.0
hedgehog,100.0,100.0,0.0
helicopter,100.0,100.0,0.0
ibis,100.0,100.0,0.0
inline skate,100.0,100.0,0.0
joshua tree,100.0,100.0,0.0
kangaroo,100.0,100.0,0.0
ketch,21.74,52.17,30.43
lamp,83.33,83.33,0.0
laptop,100.0,100.0,0.0
llama,87.5,87.5,0.0
lobster,50.0,87.5,37.5
lotus,30.77,61.54,30.77
mandolin,100.0,100.0,0.0
mayfly,100.0,87.5,-12.5
menorah,100.0,100.0,0.0
metronome,100.0,83.33,-16.67
minaret,93.33,93.33,0.0
nautilus,90.91,100.0,9.09
octopus,71.43,71.43,0.0
okapi,100.0,100.0,0.0
pagoda,100.0,100.0,0.0
panda,100.0,100.0,0.0
pigeon,100.0,100.0,0.0
pizza,100.0,100.0,0.0
platypus,100.0,100.0,0.0
pyramid,100.0,100.0,0.0
revolver,100.0,100.0,0.0
rhino,100.0,100.0,0.0
rooster,100.0,100.0,0.0
saxophone,100.0,100.0,0.0
schooner,92.31,53.85,-38.46
scissors,87.5,87.5,0.0
scorpion,88.24,100.0,11.76
sea horse,90.91,90.91,0.0
snoopy (cartoon beagle),100.0,100.0,0.0
soccer ball,100.0,100.0,0.0
stapler,100.0,100.0,0.0
starfish,100.0,100.0,0.0
stegosaurus,100.0,100.0,0.0
stop sign,100.0,100.0,0.0
strawberry,100.0,100.0,0.0
sunflower,100.0,100.0,0.0
tick,100.0,100.0,0.0
trilobite,100.0,100.0,0.0
umbrella,100.0,100.0,0.0
watch,100.0,100.0,0.0
water lilly,100.0,71.43,-28.57
wheelchair,100.0,100.0,0.0
wild cat,14.29,42.86,28.57
windsor chair,100.0,100.0,0.0
wrench,87.5,75.0,-12.5
yin and yang symbol,91.67,91.67,0.0
