class,standard,cupl_full,delta
banded,0.0,0.0,0.0
blotchy,29.17,12.5,-16.67
braided,66.67,70.83,4.17
bubbly,95.83,100.0,4.17
bumpy,4.17,4.17,0.0
chequered,95.83,95.83,0.0
cobwebbed,95.83,100.0,4.17
cracked,75.0,75.0,0.0
crosshatched,33.33,29.17,-4.17
crystalline,100.0,100.0,0.0
dotted,0.0,4.17,4.17
fibrous,25.0,45.83,20.83
flecked,0.0,0.0,0.0
freckled,83.33,83.33,0.0
frilly,75.0,75.0,0.0
gauzy,4.17,12.5,8.33
grid,45.83,45.83,0.0
grooved,12.5,12.5,0.0
honeycombed,54.17,83.33,29.17
interlaced,0.0,0.0,0.0
knitted,83.33,87.5,4.17
lacelike,0.0,33.33,33.33
lined,20.83,0.0,-20.83
marbled,70.83,75.0,4.17
matted,0.0,29.17,29.17
meshed,16.67,33.33,16.67
paisley,100.0,95.83,-4.17
perforated,50.0,79.17,29.17
pitted,0.0,0.0,0.0
pleated,62.5,50.0,-12.5
polka-dotted,95.83,87.5,-8.33
porous,45.83,16.67,-29.17
potholed,4.17,83.33,79.17
scaly,62.5,83.33,20.83
smeared,41.67,66.67,25.0
spiralled,25.0,33.33,8.33
sprinkled,41.67,33.33,-8.33
stained,33.33,37.5,4.17
stratified,16.67,8.33,-8.33
striped,79.17,87.5,8.33
studded,91.67,91.67,0.0
swirly,58.33,66.67,8.33
veined,54.17,45.83,-8.33
waffled,70.83,83.33,12.5
woven,37.5,16.67,-20.83
wrinkled,45.83,41.67,-4.17
zigzagged,8.33,45.83,37.5
