class,standard,cupl_full,delta
pink primrose,25.0,25.0,0.0
hard-leaved pocket orchid,0.0,0.0,0.0
canterbury bells,37.5,50.0,12.5
sweet pea,72.73,72.73,0.0
english marigold,46.15,15.38,-30.77
tiger lily,55.56,66.67,11.11
moon orchid,100.0,100.0,0.0
bird of paradise,94.12,94.12,0.0
monkshood,88.89,88.89,0.0
globe thistle,100.0,100.0,0.0
snapdragon,88.24,88.24,0.0
colt's foot,0.0,0.0,0.0
king protea,100.0,100.0,0.0
spear thistle,100.0,100.0,0.0
yellow iris,100.0,100.0,0.0
globe-flower,12.5,0.0,-12.5
purple coneflower,100.0,94.12,-5.88
peruvian lily,100.0,100.0,0.0
balloon flower,40.0,50.0,10.0
giant white arum lily,90.91,100.0,9.09
fire lily,37.5,37.5,0.0
pincushion flower,83.33,75.0,-8.33
fritillary,94.44,94.44,0.0
red ginger,62.5,75.0,12.5
grape hyacinth,100.0,100.0,0.0
corn poppy,25.0,87.5,62.5
prince of wales feathers,12.5,0.0,-12.5
stemless gentian,84.62,53.85,-30.77
artichoke,81.25,62.5,-18.75
sweet william,64.71,58.82,-5.88
carnation,70.0,90.0,20.0
garden phlox,100.0,100.0,0.0
love in the mist,0.0,0.0,0.0
mexican aster,0.0,0.0,0.0
alpine sea holly,88.89,100.0,11.11
ruby-lipped cattleya,93.33,93.33,0.0
cape flower,0.0,0.0,0.0
great masterwort,0.0,0.0,0.0
siam tulip,50.0,37.5,-12.5
lenten rose,100.0,100.0,0.0
barbeton daisy,72.0,32.0,-40.0
daffodil,100.0,100.0,0.0
sword lily,0.0,0.0,0.0
poinsettia,100.0,100.0,0.0
bolero deep blue,0.0,0.0,0.0
wallflower,51.28,66.67,15.38
marigold,53.85,61.54,7.69
buttercup,92.86,92.86,0.0
oxeye daisy,90.0,80.0,-10.0
common dandelion,100.0,100.0,0.0
petunia,84.62,78.85,-5.77
wild pansy,100.0,100.0,0.0
primula,84.21,73.68,-10.53
sunflower,91.67,91.67,0.0
pelargonium,0.0,0.0,0.0
bishop of llandaff,0.0,0.0,0.0
gaura,100.0,100.0,0.0
geranium,0.0,0.0,0.0
orange dahlia,69.23,92.31,23.08
pink-yellow dahlia,27.27,27.27,0.0
cautleya spicata,100.0,100.0,0.0
japanese anemone,81.82,90.91,9.09
black-eyed susan,100.0,100.0,0.0
silverbush,0.0,0.0,0.0
californian poppy,65.0,95.0,30.0
osteospermum,91.67,91.67,0.0
spring crocus,100.0,100.0,0.0
bearded iris,90.91,90.91,0.0
windflower,90.91,81.82,-9.09
tree poppy,100.0,100.0,0.0
gazania,100.0,100.0,0.0
azalea,73.68,89.47,15.79
water lily,97.44,97.44,0.0
rose,88.24,97.06,8.82
thorn apple,0.0,0.0,0.0
morning glory,61.9,100.0,38.1
passion flower,100.0,100.0,0.0
lotus,85.19,74.07,-11.11
toad lily,100.0,100.0,0.0
anthurium,95.24,100.0,4.76
frangipani,100.0,100.0,0.0
clematis,95.45,100.0,4.55
hibiscus,100.0,100.0,0.0
columbine,94.12,82.35,-11.76
desert-rose,100.0,100.0,0.0
tree mallow,58.33,50.0,-8.33
magnolia,100.0,100.0,0.0
cyclamen,87.1,87.1,0.0
watercress,0.0,0.0,0.0
canna lily,100.0,87.5,-12.5
hippeastrum,100.0,100.0,0.0
bee balm,92.31,92.31,0.0
ball moss,0.0,0.0,0.0
foxglove,100.0,100.0,0.0
bougainvillea,92.31,92.31,0.0
camellia,83.33,83.33,0.0
mallow,7.69,0.0,-7.69
mexican petunia,37.5,68.75,31.25
bromelia,76.92,76.92,0.0
blanket flower,90.0,100.0,10.0
trumpet creeper,66.67,66.67,0.0
blackberry lily,60.0,30.0,-30.0
