class,standard,cupl_full,delta
apple pie,76.0,69.0,-7.0
baby back ribs,83.5,68.0,-15.5
baklava,81.0,81.0,0.0
beef carpaccio,89.5,87.5,-2.0
beef tartare,77.0,72.5,-4.5
beet salad,77.0,71.0,-6.0
beignets,94.5,93.5,-1.0
bibimbap,92.5,93.0,0.5
bread pudding,76.0,80.5,4.5
breakfast burrito,85.0,92.5,7.5
bruschetta,74.0,68.0,-6.0
caesar salad,98.0,97.0,-1.0
cannoli,93.5,88.0,-5.5
caprese salad,88.0,86.5,-1.5
carrot cake,86.5,85.5,-1.0
ceviche,76.5,78.0,1.5
cheese plate,94.0,94.0,0.0
cheesecake,66.0,65.5,-0.5
chicken curry,82.0,78.0,-4.0
chicken quesadilla,90.5,88.5,-2.0
chicken wings,94.0,94.5,0.5
chocolate cake,82.0,78.5,-3.5
chocolate mousse,67.5,55.0,-12.5
churros,92.0,90.5,-1.5
clam chowder,88.0,69.0,-19.0
club sandwich,90.5,89.0,-1.5
crab cakes,88.5,83.0,-5.5
creme brulee,92.5,93.0,0.5
croque madame,89.0,91.0,2.0
cup cakes,76.5,92.5,16.0
deviled eggs,95.0,92.5,-2.5
donuts,85.5,86.5,1.0
dumplings,92.0,91.0,-1.0
edamame,99.5,99.5,0.0
eggs benedict,93.5,92.0,-1.5
escargots,76.5,83.0,6.5
falafel,85.5,84.0,-1.5
filet mignon,76.5,61.0,-15.5
fish and chips,93.0,86.5,-6.5
foie gras,68.0,85.0,17.0
french fries,92.0,95.0,3.0
french onion soup,87.5,73.5,-14.0
french toast,84.5,83.0,-1.5
fried calamari,91.0,91.0,0.0
fried rice,90.0,89.5,-0.5
frozen yogurt,95.0,95.0,0.0
garlic bread,82.5,89.5,7.0
gnocchi,79.5,83.0,3.5
greek salad,86.0,86.0,0.0
grilled cheese sandwich,81.0,79.5,-1.5
grilled salmon,83.0,83.0,0.0
guacamole,92.5,95.5,3.0
gyoza,81.5,82.0,0.5
hamburger,83.5,73.0,-10.5
hot and sour soup,88.0,73.5,-14.5
hot dog,91.5,90.5,-1.0
huevos rancheros,89.5,75.5,-14.0
hummus,81.0,83.0,2.0
ice cream,60.0,63.0,3.0
lasagna,87.0,86.0,-1.0
lobster bisque,87.0,87.0,0.0
lobster roll sandwich,95.0,94.5,-0.5
macaroni and cheese,81.0,77.5,-3.5
macarons,97.0,97.0,0.0
miso soup,86.0,95.5,9.5
mussels,95.0,94.0,-1.0
nachos,94.0,88.5,-5.5
omelette,88.5,89.5,1.0
onion rings,87.0,91.0,4.0
oysters,99.0,99.0,0.0
pad thai,93.5,93.0,-0.5
paella,87.0,91.0,4.0
pancakes,91.0,93.0,2.0
panna cotta,76.5,72.5,-4.0
peking duck,87.5,93.0,5.5
pho,93.5,90.5,-3.0
pizza,94.0,95.0,1.0
pork chop,82.0,77.5,-4.5
poutine,92.0,94.0,2.0
prime rib,85.0,77.5,-7.5
pulled pork sandwich,93.5,91.0,-2.5
ramen,72.0,88.5,16.5
ravioli,72.0,74.0,2.0
red velvet cake,91.5,83.5,-8.0
risotto,85.5,81.0,-4.5
samosa,91.5,91.5,0.0
sashimi,92.0,84.5,-7.5
scallops,78.5,82.5,4.0
seaweed salad,98.0,96.5,-1.5
shrimp and grits,91.0,90.5,-0.5
spaghetti bolognese,96.0,93.5,-2.5
spaghetti carbonara,94.5,91.0,-3.5
spring rolls,92.5,92.5,0.0
steak,36.0,68.0,32.0
strawberry shortcake,85.0,73.5,-11.5
sushi,85.0,90.0,5.0
tacos,67.0,64.5,-2.5
takoyaki,95.0,96.0,1.0
tiramisu,82.5,85.0,2.5
tuna tartare,74.0,72.0,-2.0
waffles,89.0,89.0,0.0
