class,standard,cupl_full,delta
707-320,0.0,12.12,12.12
727-200,23.53,2.94,-20.59
737-200,0.0,18.18,18.18
737-300,0.0,6.06,6.06
737-400,0.0,0.0,0.0
737-500,0.0,0.0,0.0
737-600,0.0,0.0,0.0
737-700,0.0,0.0,0.0
737-800,9.09,0.0,-9.09
737-900,27.27,12.12,-15.15
747-100,35.29,0.0,-35.29
747-200,30.3,12.12,-18.18
747-300,9.09,9.09,0.0
747-400,2.94,0.0,-2.94
757-200,33.33,9.09,-24.24
757-300,6.06,0.0,-6.06
767-200,29.41,8.82,-20.59
767-300,0.0,27.27,27.27
767-400,24.24,42.42,18.18
777-200,5.88,0.0,-5.88
777-300,3.03,9.09,6.06
A300B4,6.06,9.09,3.03
A310,17.65,35.29,17.65
A318,54.55,45.45,-9.09
A319,18.18,3.03,-15.15
A320,8.82,35.29,26.47
A321,42.42,30.3,-12.12
A330-200,27.27,39.39,12.12
A330-300,5.88,8.82,2.94
A340-200,39.39,21.21,-18.18
A340-300,12.12,0.0,-12.12
A340-500,0.0,0.0,0.0
A340-600,18.18,12.12,-6.06
A380,78.79,72.73,-6.06
ATR-42,11.76,14.71,2.94
ATR-72,30.3,51.52,21.21
An-12,3.03,63.64,60.61
BAE 146-200,44.12,38.24,-5.88
BAE 146-300,6.06,3.03,-3.03
BAE-125,0.0,0.0,0.0
Beechcraft 1900,0.0,11.76,11.76
Boeing 717,54.55,54.55,0.0
C-130,81.82,69.7,-12.12
C-47,8.82,8.82,0.0
CRJ-200,12.12,15.15,3.03
CRJ-700,6.06,0.0,-6.06
CRJ-900,0.0,0.0,0.0
Cessna 172,72.73,12.12,-60.61
Cessna 208,45.45,48.48,3.03
Cessna 525,8.82,64.71,55.88
Cessna 560,45.45,21.21,-24.24
Challenger 600,3.03,30.3,27.27
DC-10,0.0,14.71,14.71
DC-3,54.55,57.58,3.03
DC-6,27.27,15.15,-12.12
DC-8,55.88,32.35,-23.53
DC-9-30,0.0,15.15,15.15
DH-82,84.85,84.85,0.0
DHC-1,11.76,35.29,23.53
DHC-6,6.06,54.55,48.48
DHC-8-100,27.27,21.21,-6.06
DHC-8-300,0.0,8.82,8.82
DR-400,3.03,0.0,-3.03
Dornier 328,39.39,6.06,-33.33
E-170,0.0,0.0,0.0
E-190,0.0,0.0,0.0
E-195,0.0,0.0,0.0
EMB-120,14.71,50.0,35.29
ERJ 135,39.39,36.36,-3.03
ERJ 145,15.15,0.0,-15.15
Embraer Legacy 600,76.47,17.65,-58.82
Eurofighter Typhoon,87.88,87.88,0.0
F-16A/B,93.94,90.91,-3.03
F/A-18,91.18,85.29,-5.88
Falcon 2000,51.52,48.48,-3.03
Falcon 900,0.0,9.09,9.09
Fokker 100,14.71,14.71,0.0
Fokker 50,30.3,9.09,-21.21
Fokker 70,9.09,0.0,-9.09
Global Express,23.53,8.82,-14.71
Gulfstream IV,39.39,12.12,-27.27
Gulfstream V,42.42,27.27,-15.15
Hawk T1,100.0,100.0,0.0
Il-76,30.3,63.64,33.33
L-1011,24.24,9.09,-15.15
MD-11,23.53,41.18,17.65
MD-80,0.0,18.18,18.18
MD-87,3.03,3.03,0.0
MD-90,2.94,5.88,2.94
Metroliner,24.24,0.0,-24.24
Model B200,0.0,6.06,6.06
PA-28,8.82,73.53,64.71
SR-20,12.12,0.0,-12.12
Saab 2000,48.48,15.15,-33.33
Saab 340,2.94,0.0,-2.94
Spitfire,93.94,90.91,-3.03
Tornado,93.94,96.97,3.03
Tu-134,8.82,0.0,-8.82
Tu-154,15.15,15.15,0.0
Yak-42,0.0,6.06,6.06
