class,standard,cupl_full,delta
Apply Eye Makeup,95.0,95.0,0.0
Apply Lipstick,62.5,81.25,18.75
Archery,71.43,76.19,4.76
Baby Crawling,100.0,100.0,0.0
Balance Beam,46.67,20.0,-26.67
Band Marching,86.36,100.0,13.64
Baseball Pitch,80.95,80.95,0.0
Basketball,30.0,20.0,-10.0
Basketball Dunk,47.37,15.79,-31.58
Bench Press,100.0,100.0,0.0
Biking,100.0,100.0,0.0
Billiards,100.0,100.0,0.0
Blow Dry Hair,94.74,89.47,-5.26
Blowing Candles,86.67,100.0,13.33
Body Weight Squats,6.25,6.25,0.0
Bowling,100.0,100.0,0.0
Boxing Punching Bag,69.57,65.22,-4.35
Boxing Speed Bag,21.05,36.84,15.79
Breast Stroke,100.0,86.67,-13.33
Brushing Teeth,94.74,78.95,-15.79
Clean And Jerk,100.0,75.0,-25.0
Cliff Diving,80.0,90.0,10.0
Cricket Bowling,80.95,52.38,-28.57
Cricket Shot,20.83,62.5,41.67
Cutting In Kitchen,93.33,93.33,0.0
Diving,42.86,38.1,-4.76
Drumming,100.0,100.0,0.0
Fencing,80.0,73.33,-6.67
Field Hockey Penalty,70.59,64.71,-5.88
Floor Gymnastics,50.0,44.44,-5.56
Frisbee Catch,27.78,33.33,5.56
Front Crawl,35.0,45.0,10.0
Golf Swing,90.0,85.0,-5.0
Haircut,36.84,47.37,10.53
Hammering,71.43,71.43,0.0
Hammer Throw,19.05,4.76,-14.29
Handstand Pushups,80.0,95.0,15.0
Handstand Walking,60.0,6.67,-53.33
Head Massage,52.38,9.52,-42.86
High Jump,0.0,11.76,11.76
Horse Race,100.0,100.0,0.0
Horse Riding,100.0,86.96,-13.04
Hula Hoop,55.56,66.67,11.11
Ice Dancing,100.0,100.0,0.0
Javelin Throw,58.82,52.94,-5.88
Juggling Balls,87.5,93.75,6.25
Jumping Jack,41.18,29.41,-11.76
Jump Rope,14.29,4.76,-9.52
Kayaking,19.05,38.1,19.05
Knitting,83.33,83.33,0.0
Long Jump,88.89,66.67,-22.22
Lunges,38.89,22.22,-16.67
Military Parade,94.44,88.89,-5.56
Mixing,0.0,11.11,11.11
Mopping Floor,86.67,80.0,-6.67
Nunchucks,15.79,26.32,10.53
Parallel Bars,6.67,0.0,-6.67
Pizza Tossing,43.75,50.0,6.25
Playing Cello,100.0,100.0,0.0
Playing Daf,0.0,0.0,0.0
Playing Dhol,100.0,65.22,-34.78
Playing Flute,100.0,95.24,-4.76
Playing Guitar,100.0,100.0,0.0
Playing Piano,100.0,100.0,0.0
Playing Sitar,91.3,82.61,-8.7
Playing Tabla,81.25,81.25,0.0
Playing Violin,92.86,92.86,0.0
Pole Vault,40.91,50.0,9.09
Pommel Horse,61.11,61.11,0.0
Pull Ups,92.86,85.71,-7.14
Punch,50.0,37.5,-12.5
Push Ups,35.71,7.14,-28.57
Rafting,100.0,94.12,-5.88
Rock Climbing Indoor,95.24,100.0,4.76
Rope Climbing,17.65,35.29,17.65
Rowing,100.0,100.0,0.0
Salsa Spin,88.89,77.78,-11.11
Shaving Beard,79.17,79.17,0.0
Shotput,60.0,30.0,-30.0
Skate Boarding,88.89,88.89,0.0
Skiing,94.74,42.11,-52.63
Skijet,71.43,28.57,-42.86
Sky Diving,100.0,100.0,0.0
Soccer Juggling,54.55,54.55,0.0
Soccer Penalty,100.0,100.0,0.0
Still Rings,0.0,0.0,0.0
Sumo Wrestling,100.0,100.0,0.0
Surfing,89.47,94.74,5.26
Swing,44.44,5.56,-38.89
Table Tennis Shot,100.0,100.0,0.0
Tai Chi,71.43,64.29,-7.14
Tennis Swing,69.57,69.57,0.0
Throw Discus,50.0,61.11,11.11
Trampoline Jumping,82.35,94.12,11.76
Typing,100.0,100.0,0.0
Uneven Bars,73.33,66.67,-6.67
Volleyball Spiking,81.25,75.0,-6.25
Walking With Dog,94.12,88.24,-5.88
Wall Pushups,57.89,57.89,0.0
Writing On Board,85.71,85.71,0.0
Yo Yo,27.78,50.0,22.22
