dataset,num_shots,seed,n_ctx,prompt_depth,final_acc,best_val_acc,best_epoch
eurosat,1,1,2,9,57.666666666666664,58.7037037037037,3
eurosat,4,1,2,9,79.5679012345679,79.5679012345679,5
eurosat,8,1,2,9,84.8641975308642,84.8641975308642,5
eurosat,16,1,2,9,89.65432098765432,89.65432098765432,5
oxfordpets,1,1,2,9,91.2782774597983,91.2782774597983,5
oxfordpets,4,1,2,9,93.43145271191061,93.48596347778687,3
oxfordpets,8,1,2,9,93.04987735077678,93.04987735077678,4
oxfordpets,16,1,2,9,94.03107113654947,94.03107113654947,5
dtd,1,1,2,9,52.12765957446808,52.364066193853425,2
dtd,4,1,2,9,60.9338061465721,60.9338061465721,5
dtd,8,1,2,9,65.13002364066193,65.13002364066193,5
dtd,16,1,2,9,68.97163120567376,68.97163120567376,5
caltech101,1,1,2,9,93.42799188640974,93.4685598377282,4
caltech101,4,1,2,9,94.9290060851927,94.9290060851927,5
caltech101,8,1,2,9,95.01014198782961,95.21298174442191,2
caltech101,16,1,2,9,95.86206896551724,95.86206896551724,5
flowers102,1,1,2,9,75.6394640682095,75.6394640682095,5
flowers102,4,1,2,9,88.2663418595209,88.2663418595209,5
flowers102,8,1,2,9,91.47381242387333,91.47381242387333,5
flowers102,16,1,2,9,94.7218838814454,94.7218838814454,5
fgvcaircraft,1,1,2,9,25.562556255625562,25.562556255625562,5
fgvcaircraft,4,1,2,9,34.20342034203421,34.20342034203421,5
fgvcaircraft,8,1,2,9,23.162316231623162,23.162316231623162,5
fgvcaircraft,16,1,2,9,43.23432343234323,43.23432343234323,5
stanfordcars,1,1,2,9,66.52157691829375,67.54135057828628,3
stanfordcars,4,1,2,9,70.5509265016789,70.5509265016789,5
stanfordcars,8,1,2,9,73.32421340629276,73.32421340629276,5
stanfordcars,16,1,2,9,76.84367615968164,76.84367615968164,5
ucf101,1,1,2,9,73.248744382765,73.43378271213322,4
ucf101,4,1,2,9,76.39439598202485,76.65873645255088,4
ucf101,8,1,2,9,79.75151995770553,79.96299233412635,4
ucf101,16,1,2,9,83.24081416864922,83.24081416864922,5
food101,1,1,2,9,83.97359735973598,85.1980198019802,3
food101,4,1,2,9,85.8019801980198,86.82508250825083,1
food101,8,1,2,9,85.84158415841584,86.91089108910892,2
food101,16,1,2,9,86.47194719471948,87.42244224422443,2
