dataset,num_shots,CoOp,MaPLe,Improvement
caltech101,1,86.73,93.43,6.69
caltech101,4,93.29,94.93,1.64
caltech101,8,93.98,95.01,1.03
caltech101,16,95.16,95.86,0.7
dtd,1,42.89,52.13,9.23
dtd,4,58.05,60.93,2.88
dtd,8,63.62,65.13,1.51
dtd,16,68.54,68.97,0.43
eurosat,1,58.86,57.67,-1.19
eurosat,4,75.48,79.57,4.09
eurosat,8,80.03,84.86,4.84
eurosat,16,86.94,89.65,2.72
fgvcaircraft,1,23.05,25.56,2.51
fgvcaircraft,4,32.29,34.2,1.91
fgvcaircraft,8,37.43,23.16,-14.27
fgvcaircraft,16,43.5,43.23,-0.27
flowers102,1,77.19,75.64,-1.55
flowers102,4,91.52,88.27,-3.26
flowers102,8,94.83,91.47,-3.36
flowers102,16,96.55,94.72,-1.83
food101,1,75.94,83.97,8.04
food101,4,83.12,85.8,2.68
food101,8,84.35,85.84,1.49
food101,16,85.41,86.47,1.07
oxfordpets,1,83.36,91.28,7.92
oxfordpets,4,88.46,93.43,4.97
oxfordpets,8,89.85,93.05,3.2
oxfordpets,16,91.82,94.03,2.21
stanfordcars,1,58.44,66.52,8.08
stanfordcars,4,69.48,70.55,1.07
stanfordcars,8,75.24,73.32,-1.92
stanfordcars,16,79.79,76.84,-2.95
ucf101,1,64.37,73.25,8.88
ucf101,4,73.43,76.39,2.97
ucf101,8,77.01,79.75,2.74
ucf101,16,81.18,83.24,2.06
