dataset,num_shots,final_acc_mean,best_val_acc_mean
caltech101,1,93.43,93.47
caltech101,4,94.93,94.93
caltech101,8,95.01,95.21
caltech101,16,95.86,95.86
dtd,1,52.13,52.36
dtd,4,60.93,60.93
dtd,8,65.13,65.13
dtd,16,68.97,68.97
eurosat,1,57.67,58.7
eurosat,4,79.57,79.57
eurosat,8,84.86,84.86
eurosat,16,89.65,89.65
fgvcaircraft,1,25.56,25.56
fgvcaircraft,4,34.2,34.2
fgvcaircraft,8,23.16,23.16
fgvcaircraft,16,43.23,43.23
flowers102,1,75.64,75.64
flowers102,4,88.27,88.27
flowers102,8,91.47,91.47
flowers102,16,94.72,94.72
food101,1,83.97,85.2
food101,4,85.8,86.83
food101,8,85.84,86.91
food101,16,86.47,87.42
oxfordpets,1,91.28,91.28
oxfordpets,4,93.43,93.49
oxfordpets,8,93.05,93.05
oxfordpets,16,94.03,94.03
stanfordcars,1,66.52,67.54
stanfordcars,4,70.55,70.55
stanfordcars,8,73.32,73.32
stanfordcars,16,76.84,76.84
ucf101,1,73.25,73.43
ucf101,4,76.39,76.66
ucf101,8,79.75,79.96
ucf101,16,83.24,83.24
