dataset,shots,method,base,new,H
caltech101,1,CLIP,93.8943,93.4826,93.688
caltech101,1,CoCoOp,94.9449,93.8329,94.3856
caltech101,1,ProMIM_MIM_only,93.7026,94.0867,93.8942
caltech101,1,ProMIM_full,93.374,94.2788,93.8242
caltech101,4,CLIP,93.8943,93.4826,93.688
caltech101,4,CoCoOp,94.2638,93.0841,93.6703
caltech101,4,ProMIM_MIM_only,95.4931,92.808,94.1314
caltech101,4,ProMIM_full,94.6432,94.6999,94.6715
caltech101,8,CLIP,93.8943,93.4826,93.688
caltech101,8,CoCoOp,95.0494,92.8961,93.9604
caltech101,8,ProMIM_MIM_only,94.2954,92.6627,93.4719
caltech101,8,ProMIM_full,94.8479,93.9002,94.3717
caltech101,16,CLIP,93.8943,93.4826,93.688
caltech101,16,CoCoOp,95.4767,93.2835,94.3673
caltech101,16,ProMIM_MIM_only,96.0452,93.6858,94.8509
caltech101,16,ProMIM_full,94.1686,93.6684,93.9178
