dataset,shots,method,base,new,H
dtd,1,CLIP,52.2947,60.5324,56.1128
dtd,1,CoCoOp,54.1063,47.1065,50.3643
dtd,1,ProMIM_MIM_only,59.6618,57.2917,58.4527
dtd,1,ProMIM_full,61.3527,62.1528,61.7501
dtd,4,CLIP,52.2947,60.5324,56.1128
dtd,4,CoCoOp,62.4396,46.7593,53.4736
dtd,4,ProMIM_MIM_only,60.2657,20.1389,30.1894
dtd,4,ProMIM_full,70.1691,54.3981,61.2853
dtd,8,CLIP,52.2947,60.5324,56.1128
dtd,8,CoCoOp,72.2222,28.588,40.9619
dtd,8,ProMIM_MIM_only,70.5314,54.7454,61.6438
dtd,8,ProMIM_full,71.0145,52.662,60.4766
dtd,16,CLIP,52.2947,60.5324,56.1128
dtd,16,CoCoOp,73.5507,37.3843,49.5721
dtd,16,ProMIM_MIM_only,78.8647,28.125,41.4632
dtd,16,ProMIM_full,75.8454,51.5046,61.3489
