dataset,shots,method,base,new,H
flowers102,1,CLIP,79.8022,72.7349,76.1049
flowers102,1,CoCoOp,84.6505,70.4682,76.911
flowers102,1,ProMIM_MIM_only,84.1199,70.7868,76.8796
flowers102,1,ProMIM_full,84.0653,74.1907,78.8199
flowers102,4,CLIP,79.8022,72.7349,76.1049
flowers102,4,CoCoOp,90.7485,69.7384,78.8682
flowers102,4,ProMIM_MIM_only,91.8175,68.1363,78.2239
flowers102,4,ProMIM_full,87.8227,73.6183,80.0956
flowers102,8,CLIP,79.8022,72.7349,76.1049
flowers102,8,CoCoOp,93.4497,65.3871,76.9394
flowers102,8,ProMIM_MIM_only,90.7414,66.6737,76.8676
flowers102,8,ProMIM_full,90.3989,70.567,79.2613
flowers102,16,CLIP,79.8022,72.7349,76.1049
flowers102,16,CoCoOp,95.0484,66.3795,78.1682
flowers102,16,ProMIM_MIM_only,89.6505,23.6575,37.4361
flowers102,16,ProMIM_full,93.0163,72.8467,81.7051
caltech101,1,CLIP,93.8943,93.4826,93.688
caltech101,1,CoCoOp,94.9449,93.8329,94.3856
caltech101,1,ProMIM_MIM_only,93.7026,94.0867,93.8942
caltech101,1,ProMIM_full,93.374,94.2788,93.8242
