dataset,shots,method,base,new,H
food101,1,CLIP,90.1533,90.9608,90.5553
food101,1,CoCoOp,89.5067,88.5425,89.022
food101,1,ProMIM_MIM_only,88.68,88.0196,88.3486
food101,1,ProMIM_full,89.52,90.4902,90.0025
food101,4,CLIP,90.1533,90.9608,90.5553
food101,4,CoCoOp,90.4467,91.5359,90.988
food101,4,ProMIM_MIM_only,89.78,90.0588,89.9192
food101,4,ProMIM_full,90.3133,91.9281,91.1136
food101,8,CLIP,90.1533,90.9608,90.5553
food101,8,CoCoOp,89.4067,88.7124,89.0582
food101,8,ProMIM_MIM_only,90.08,89.4837,89.7808
food101,8,ProMIM_full,90.1333,91.0,90.5646
food101,16,CLIP,90.1533,90.9608,90.5553
food101,16,CoCoOp,90.4333,88.0327,89.2169
food101,16,ProMIM_MIM_only,90.3,88.7451,89.5158
food101,16,ProMIM_full,90.54,90.5098,90.5249
