dataset,shots,method,base,new,H
ucf101,1,CLIP,72.19,78.2309,75.0891
ucf101,1,CoCoOp,77.3087,73.1992,75.1978
ucf101,1,ProMIM_MIM_only,77.9947,75.053,76.4956
ucf101,1,ProMIM_full,79.314,79.2903,79.3021
ucf101,4,CLIP,72.19,78.2309,75.0891
ucf101,4,CoCoOp,78.9446,68.5381,73.3742
ucf101,4,ProMIM_MIM_only,79.3668,74.2055,76.6994
ucf101,4,ProMIM_full,79.7361,78.9195,79.3257
ucf101,8,CLIP,72.19,78.2309,75.0891
ucf101,8,CoCoOp,80.3166,59.9576,68.6597
ucf101,8,ProMIM_MIM_only,82.2164,68.5911,74.7882
ucf101,8,ProMIM_full,81.1082,77.0127,79.0074
ucf101,16,CLIP,72.19,78.2309,75.0891
ucf101,16,CoCoOp,79.9472,65.4661,71.9856
ucf101,16,ProMIM_MIM_only,83.5884,63.0826,71.9021
ucf101,16,ProMIM_full,83.9578,77.5953,80.6513
